Designator,Footprint,Quantity,Value,LCSC Part #
3V3,HARWIN_S1751-46R,1,3V3,
"C1, C11, C5",0805,3,10uF,
C10,0603,1,1uF,
C12,CAP_EEEFN2A100L,1,47uF,
"C2, C4",0603,2,0.1uF,
C3,0805,1,0.27,
C6,0805,1,4.7uF,
C7,0603,1,47pF,
C8,0603,1,2.2uF,
C9,0805,1,22nf,
"D1, D2, D3, D4, D5",LED_JB3030AWT_3X3_CRE,5,LED,
GND,HARWIN_S1751-46R,1,TP_GND,
ISN ,HARWIN_S1751-46R,1,TP_ISN,
L1,IND_BOURNS_SRN1060,1,150uH,
R1,0603,1,100kOHm,
R2,0603,1,2490kOHm,
R3,0603,1,274kOhm,
R4,0603,1,10kO,
R5,0805,1,24mO,
SIGNAL,HARWIN_S1751-46R,1,TP_SIGNAL,
TP2,HARWIN_S1751-46R,1,TP_THR,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC555xCMX,
U2,VSSOP8_DGN_TEX,1,TPS7B8133QDGNRQ1,
U3,05-08-1799_ADI,1,LT8374RUFM-WPBF,
